latitude,longitude,elevation_m,slope,curvature,tpi_7,tpi_31,tpi_121,roughness_7,roughness_31,relief_31
43.96875,42.48125,1368.8821,0.0120550925,-0.00054047164,12.932983,99.547485,215.99512,21.074274,100.22163,324.26514
43.96875,42.49375,1370.4365,0.037750356,-0.0003235651,5.2886963,125.91089,232.2749,6.344289,103.88094,395.32294
43.96875,42.50625,1200.8733,0.30600485,0.00065772113,1.2108154,48.017334,76.7561,34.380226,111.18734,437.8609
43.96875,42.51875,1051.6378,0.19939865,-0.0011698442,10.640503,-20.078125,-56.453125,28.073565,97.78867,360.33698
43.96875,42.53125,1057.4335,0.2249233,3.0662875e-05,-0.17651367,-0.43981934,-37.094727,34.536213,115.08095,375.2627
43.96875,42.54375,1059.1039,0.23774919,0.00026578252,-0.16027832,4.8216553,-21.045288,39.714607,115.81019,386.92682
43.96875,42.55625,1037.9276,0.3176793,-0.00085596275,2.527832,-13.329468,-29.407349,39.687843,118.49683,389.1093
43.96875,42.56875,1036.3367,0.24938989,-0.0002119883,-0.3572998,-21.677979,-22.92456,38.79594,129.6958,397.82074
43.96875,42.58125,1025.2935,0.14976585,0.0004092778,-5.5654297,-35.433105,-26.270142,34.067947,132.39241,397.61456
43.96875,42.59375,1029.6954,0.15916567,-0.00011359661,-0.016723633,-25.421875,-12.026855,30.828154,128.0039,388.44385
43.96875,42.60625,1039.5737,0.19876015,-0.0010471194,5.000366,-15.592529,6.189087,39.139175,130.58235,389.00995
43.96875,42.61875,1062.0182,0.27380556,0.0006334791,-7.371338,3.0305176,36.32776,53.896893,130.4976,376.30438
43.96875,42.63125,1023.4454,0.14711498,0.0022376794,-25.326843,-39.344055,5.5910034,43.85345,124.237175,362.54205
43.96875,42.64375,1093.9348,0.49552575,-0.00031453776,7.76001,18.529053,81.780396,45.25069,116.424866,349.17108
43.96875,42.65625,1128.8978,0.28731695,0.0010155767,0.5484619,39.268677,121.612,40.151276,105.80643,329.91534
43.96875,42.66875,1166.3071,0.24136358,-0.0037345889,23.454224,54.832886,167.2992,25.31304,89.63328,312.98016
43.96875,42.68125,1192.1284,0.019100573,-0.00035633324,5.4418945,53.617188,205.1278,5.87367,57.249454,259.20374
43.96875,42.69375,1162.5055,0.03279758,-6.0861203e-05,1.8774414,16.986938,189.77094,5.623611,30.72255,181.0174
43.96875,42.70625,1137.8757,0.045696083,-6.905358e-05,0.95654297,15.118774,180.11511,8.3666,39.39702,228.1123
43.96875,42.71875,1104.6656,0.08788443,-0.00026610823,2.7349854,21.708252,161.54077,13.397761,45.490383,224.8028
43.96875,42.73125,1067.3511,0.08359545,-0.00053116254,3.548706,32.070557,138.00958,12.634278,57.57712,310.4178
43.96875,42.74375,1033.0728,0.21704012,-0.0013418044,18.441284,68.31769,121.18652,21.579794,81.52914,350.81287
43.96875,42.75625,860.59705,0.2513644,0.0010532484,-19.910645,-13.7907715,-35.349182,44.476818,97.84363,343.87915
43.96875,42.76875,758.709,0.24127279,-9.396354e-05,0.07476807,-38.967102,-130.7594,19.509613,86.91986,294.87787
43.96875,42.78125,693.3812,0.08264179,-0.00014715796,-2.599121,-61.286682,-195.5426,12.562345,68.09782,266.15222
